origin	terminus	name	stops	route
gul_ahmed_textile_mills	abdul_hameed_badayuni_college	F-9	21	gul_ahmed_textile_mills>dawood_chowrangi>89_bus_stop>babar_market>chirgh_hotel>landhi_no_6>36-b_auliya_masjid_burmi_colony>landhi_k-area>korangi_i-area>korangi_no_5>khudadad_colony>ma_jinnah_road>gurumandir>jahangir_road>teen_hatti>liaquatabad_no_10>k.v_seciety_hospital>site_pathan_colony>abdul_hameed_badayuni_college
ittehad_town	rasheedabad	G-25	21	ittehad_town>gulistan-e-jouhar>jauhar_square>drive-in-cinema>NIPA>samdani_hospital>yasinabad>aisha_manzil>landi_kotal_five_star>north_nazimabad>hyderi>board_office>abdullah_college>banaras_chowk>orangi_no_4>badar_hotel>bejili_nager>mominabad>rasheedabad
naiabadi	gulshan_jauhar_goth	G-9	21	naiabadi>qabrastan>mohajir_camp>shershah>mira_naka>chakiwara>lee_market>siddiq_wahab_road>old_haji_camp>lawrence_road>garden>lasbela>teen_hatti>khi_central_jail>purani_sabzi_mandi>hassan_square>NIPA>safari_park>gulshan_jauhar_goth
manzoor_colony	rasheedabad	U-1	22	manzoor_colony>100_ft_road>azam_basti>corporation_gate>kalapul>jinnah_hospitall>luck_star_hotel>mansfield_street>empress_market>regal>tibbat_centre>ma_jinnah_road>jama_cloth>city_court>juna_market>lee_market>kakri_ground>masan_road>agra_taj_colony>rasheedabad
ittehad_town	qayyumabad	X-8	22	ittehad_town>dawood_goth>naval_colony>moach_goth>hub_river_road>shershah>gulbai>mari_pure_road>ici_bridge>kardar>tower>keamari>masan_road>shirin_jinnah_colony>shahrah_firouse_mazar_abdullah_shah_gazi>26th_street>khyaban_shamsher>saba_avenue>khyaban_ittehad>qayyumabad
azam_basti	saadi_town	11-C	22	azam_basti>corporation>parsi_colony>kalapul>jinnah_hospitall>saddar>7th_day_hospital>numaish>gurumandir>islamia_college>jail_chowrangi>new_town_police_station>sabzi_mandi>civic_centre>urdu_college>NIPA>safari_park>khi_university>safoora_goth>saadi_town
naiabadi	tower	4-G	23	naiabadi>karella_mour>power_house>saleem_centre>u.p_mour>nagan_chowrangi>sakhi_hassan>hyderi>board_office>petrol_pump>liaquatabad_no_10>post_office>teen_hatti>gurumandir>numaish>saddar>empress_market>frere_road>burns_road>ma_jinnah_road>tower
dhabi_bux_goth	shirin_jinnah_colony	G-8	23	dhabi_bux_goth>rustam_goth>royal_stop>jauhar_square>safari_park>NIPA>aziz_bhatti_park>kda_civic_centre>purani_sabzi_mandi>jamshed_road>gurumandir>7th_day_hospital>ma_jinnah_road>city_court>juna_market>lee_market>kharadar>jamat_khana>keamari>dak_khana_masan_road>shirin_jinnah_colony
hub_river_road	shirin_jinnah_colony	P-4	23	hub_river_road>shershah>gulbai>wazir_mansion>west_wharf_road>dockyard>khoja_jamat_khana>tower>city_post_office>jama_cloth_market>ma_jinnah_road>saeed_manzil>mazar-e-quaid>shahrah-e-quaideen>khalid_bin_waleed_road>shaheed-e-millat_road>punjab_colony>schon_circle>boat_basin>bilal_chowrangi>shirin_jinnah_colony
memon_goth	rcd_high_way_hub_river_road	P-9	23	memon_goth>jama_goth>mulla_issa_old_thena_bux_vill>asso_goth>dond_goth>shahrah_faisal>drigh_road>dalimia_cement_factory>national_stadium>jail_chowrangi>p.i.b_colony>teen_hatti>lasbela_chowk>garden>shoe_market>ranchore_line>haji_camp>lee_market>chakiwara>shershah>rcd_high_way_hub_river_road
safoora_goth	new_truck_stand_grace_village	7-K	24	safoora_goth>pia_society>pahalwan_goth>jauhar_chowrangi>aladin_park>NIPA>gulshan_chowrangi>sohrab_goth>power_house>nagan_chowrangi>sakhi_hassan>hyderi>kda_cowrangi>petrol_pump>habib_bank>naurus_chowrangi>ghani_chowrangi>shershah>gulbai>paf_gate>masroor>new_truck_stand_grace_village
gul_ahmed_textile_mills	mustafabad_colony	F-11	24	gul_ahmed_textile_mills>dawood_chowrangi>landhi_no_1>korangi_no_6>korangi_no_1>defence_society>gora_qabrastan>shahrah_quaideen>khalid_bin_waleed_road>shaheed-e-millat_road>jail_chowrangi>purani_sabzi_mandi>university_road>hassan_square>NIPA>kmc_hospital>water_pump>peoples_chowrangi>d.c_office>sakhi_hassan>qalandari_chowk>mustafabad_colony
